1,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/1129.82070677276
9,1/10,1/6.3
9,1/10,2/6.6465
8,1/10,1/4.3
8,1/10,2/4.5365
8,1/9,1/6.7725
7,1/10,1/3.04
7,1/10,2/3.2072
7,2/10,1/2.66
7,2/10,2/2.8063
7,1/9,1/4.788
7,2/9,1/4.1895
7,1/8,1/3.268
7,2/8,1/2.8595
6,1/10,1/4.02
6,1/10,2/4.2411
6,2/10,1/2.7
6,2/10,2/2.8485
6,1/9,1/6.3315
6,2/9,1/4.2525
6,1/8,1/4.3215
6,2/8,1/2.9025
6,1/7,1/3.0552
6,1/7,2/2.6733
6,2/7,1/2.052
6,2/7,2/1.7955
5,1/10,1/3.3
5,1/10,2/3.4815
5,1/9,1/5.1975
5,1/8,1/3.5475
5,1/7,1/2.508
5,1/7,2/2.1945
5,1/6,1/3.3165
5,1/6,2/2.2275
4,1/10,1/7
4,1/10,2/7.385
4,2/10,1/2.6
4,2/10,2/2.743
4,3/10,1/3.4
4,3/10,2/3.587
4,1/9,1/11.025
4,2/9,1/4.095
4,3/9,1/5.355
4,1/8,1/7.525
4,2/8,1/2.795
4,3/8,1/3.655
4,1/7,1/5.32
4,1/7,2/4.655
4,2/7,1/1.976
4,2/7,2/1.729
4,3/7,1/2.584
4,3/7,2/2.261
4,1/6,1/7.035
4,1/6,2/4.725
4,2/6,1/2.613
4,2/6,2/1.755
4,3/6,1/3.417
4,3/6,2/2.295
4,1/5,1/5.775
4,2/5,1/2.145
4,3/5,1/2.805
3,1/10,1/2.2
3,1/10,2/2.321
3,1/9,1/3.465
3,1/8,1/2.365
3,1/7,1/1.672
3,1/7,2/1.463
3,1/6,1/2.211
3,1/6,2/1.485
3,1/5,1/1.815
3,1/4,1/3.85
3,1/4,2/1.43
3,1/4,3/1.87
2,1/10,1/5.2
2,1/10,2/5.486
2,1/9,1/8.19
2,1/8,1/5.59
2,1/7,1/3.952
2,1/7,2/3.458
2,1/6,1/5.226
2,1/6,2/3.51
2,1/5,1/4.29
2,1/4,1/9.1
2,1/4,2/3.38
2,1/4,3/4.42
2,1/3,1/2.86
1,1/10,1/2.9
1,1/10,2/3.0595
1,2/10,1/4.02
1,2/10,2/4.2411
1,1/9,1/4.5675
1,2/9,1/6.3315
1,1/8,1/3.1175
1,2/8,1/4.3215
1,1/7,1/2.204
1,1/7,2/1.9285
1,2/7,1/3.0552
1,2/7,2/2.6733
1,1/6,1/2.9145
1,1/6,2/1.9575
1,2/6,1/4.0401
1,2/6,2/2.7135
1,1/5,1/2.3925
1,2/5,1/3.3165
1,1/4,1/5.075
1,1/4,2/1.885
1,1/4,3/2.465
1,2/4,1/7.035
1,2/4,2/2.613
1,2/4,3/3.417
1,1/3,1/1.595
1,2/3,1/2.211
1,1/2,1/3.77
1,2/2,1/5.226
8,1/9,1/10,1/13.545
8,1/9,1/10,2/14.289975
7,1/9,1/10,1/9.576
7,1/9,1/10,2/10.10268
7,2/9,1/10,1/8.379
7,2/9,1/10,2/8.839845
7,1/8,1/10,1/6.536
7,1/8,1/10,2/6.89548
7,2/8,1/10,1/5.719
7,2/8,1/10,2/6.033545
7,1/8,1/9,1/10.2942
7,2/8,1/9,1/9.007425
6,1/9,1/10,1/12.663
6,1/9,1/10,2/13.359465
6,2/9,1/10,1/8.505
6,2/9,1/10,2/8.972775
6,1/8,1/10,1/8.643
6,1/8,1/10,2/9.118365
6,2/8,1/10,1/5.805
6,2/8,1/10,2/6.124275
6,1/8,1/9,1/13.612725
6,2/8,1/9,1/9.142875
6,1/7,1/10,1/6.1104
6,1/7,2/10,1/5.3466
6,1/7,1/10,2/6.446472
6,1/7,2/10,2/5.640663
6,2/7,1/10,1/4.104
6,2/7,2/10,1/3.591
6,2/7,1/10,2/4.32972
6,2/7,2/10,2/3.788505
6,1/7,1/9,1/9.62388
6,1/7,2/9,1/8.420895
6,2/7,1/9,1/6.4638
6,2/7,2/9,1/5.655825
6,1/7,1/8,1/6.56868
6,1/7,2/8,1/5.747595
6,2/7,1/8,1/4.4118
6,2/7,2/8,1/3.860325
5,1/9,1/10,1/10.395
5,1/9,1/10,2/10.966725
5,1/8,1/10,1/7.095
5,1/8,1/10,2/7.485225
5,1/8,1/9,1/11.174625
5,1/7,1/10,1/5.016
5,1/7,2/10,1/4.389
5,1/7,1/10,2/5.29188
5,1/7,2/10,2/4.630395
5,1/7,1/9,1/7.9002
5,1/7,2/9,1/6.912675
5,1/7,1/8,1/5.3922
5,1/7,2/8,1/4.718175
5,1/6,1/10,1/6.633
5,1/6,2/10,1/4.455
5,1/6,1/10,2/6.997815
5,1/6,2/10,2/4.700025
5,1/6,1/9,1/10.446975
5,1/6,2/9,1/7.016625
5,1/6,1/8,1/7.130475
5,1/6,2/8,1/4.789125
5,1/6,1/7,1/5.04108
5,1/6,2/7,1/3.3858
5,1/6,1/7,2/4.410945
5,1/6,2/7,2/2.962575
4,1/9,1/10,1/22.05
4,1/9,1/10,2/23.26275
4,2/9,1/10,1/8.19
4,2/9,1/10,2/8.64045
4,3/9,1/10,1/10.71
4,3/9,1/10,2/11.29905
4,1/8,1/10,1/15.05
4,1/8,1/10,2/15.87775
4,2/8,1/10,1/5.59
4,2/8,1/10,2/5.89745
4,3/8,1/10,1/7.31
4,3/8,1/10,2/7.71205
4,1/8,1/9,1/23.70375
4,2/8,1/9,1/8.80425
4,3/8,1/9,1/11.51325
4,1/7,1/10,1/10.64
4,1/7,2/10,1/9.31
4,1/7,1/10,2/11.2252
4,1/7,2/10,2/9.82205
4,2/7,1/10,1/3.952
4,2/7,2/10,1/3.458
4,2/7,1/10,2/4.16936
4,2/7,2/10,2/3.64819
4,3/7,1/10,1/5.168
4,3/7,2/10,1/4.522
4,3/7,1/10,2/5.45224
4,3/7,2/10,2/4.77071
4,1/7,1/9,1/16.758
4,1/7,2/9,1/14.66325
4,2/7,1/9,1/6.2244
4,2/7,2/9,1/5.44635
4,3/7,1/9,1/8.1396
4,3/7,2/9,1/7.12215
4,1/7,1/8,1/11.438
4,1/7,2/8,1/10.00825
4,2/7,1/8,1/4.2484
4,2/7,2/8,1/3.71735
4,3/7,1/8,1/5.5556
4,3/7,2/8,1/4.86115
4,1/6,1/10,1/14.07
4,1/6,2/10,1/9.45
4,1/6,1/10,2/14.84385
4,1/6,2/10,2/9.96975
4,2/6,1/10,1/5.226
4,2/6,2/10,1/3.51
4,2/6,1/10,2/5.51343
4,2/6,2/10,2/3.70305
4,3/6,1/10,1/6.834
4,3/6,2/10,1/4.59
4,3/6,1/10,2/7.20987
4,3/6,2/10,2/4.84245
4,1/6,1/9,1/22.16025
4,1/6,2/9,1/14.88375
4,2/6,1/9,1/8.23095
4,2/6,2/9,1/5.52825
4,3/6,1/9,1/10.76355
4,3/6,2/9,1/7.22925
4,1/6,1/8,1/15.12525
4,1/6,2/8,1/10.15875
4,2/6,1/8,1/5.61795
4,2/6,2/8,1/3.77325
4,3/6,1/8,1/7.34655
4,3/6,2/8,1/4.93425
4,1/6,1/7,1/10.6932
4,1/6,2/7,1/7.182
4,1/6,1/7,2/9.35655
4,1/6,2/7,2/6.28425
4,2/6,1/7,1/3.97176
4,2/6,2/7,1/2.6676
4,2/6,1/7,2/3.47529
4,2/6,2/7,2/2.33415
4,3/6,1/7,1/5.19384
4,3/6,2/7,1/3.4884
